Symbol,ID,is_feature_control,is_feature_control_mitochondrial,is_feature_control_ribosomal,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
RP11-506H20.1,ENSG00000251307,0,0,0,0.0,0.0,0,100.0,0.0,0.0
DHX29,ENSG00000067248,0,0,0,0.2282140660241952,0.08927406679774502,1903,80.49005536190282,2226.0,3.347720217034038
SKIV2L2,ENSG00000039123,0,0,0,0.14783678490875538,0.05988013853857725,1292,86.75415214271068,1442.0,3.159266331093494
PLPP1,ENSG00000067113,0,0,0,0.024400246052901375,0.010469674110531568,232,97.62148862005331,238.0,2.3783979009481375
SLC38A9,ENSG00000177058,0,0,0,0.05597703506253845,0.02365447344962465,516,94.7098626204634,546.0,2.737987326333431
DDX4,ENSG00000152670,0,0,0,0.0002050440844781628,8.904038614543342e-05,2,99.97949559155218,2.0,0.47712125471966244
IL31RA,ENSG00000164509,0,0,0,0.0,0.0,0,100.0,0.0,0.0
AC008914.1,ENSG00000279768,0,0,0,0.0,0.0,0,100.0,0.0,0.0
IL6ST,ENSG00000134352,0,0,0,0.09688332991593193,0.0401604362635591,685,92.97724010662293,945.0,2.975891136401793
CTD-2031P19.5,ENSG00000262211,0,0,0,0.0019479188025425466,0.0008451475147472278,18,99.81546032396965,19.0,1.3010299956639813
FLJ31104,ENSG00000227908,0,0,0,0.0007176542956735698,0.0003115615171616906,7,99.92823457043264,7.0,0.9030899869919435
CTD-2227I18.1,ENSG00000249236,0,0,0,0.00030756612671724423,0.00013355373440395,3,99.96924338732828,3.0,0.6020599913279624
ANKRD55,ENSG00000164512,0,0,0,0.01025220422390814,0.004429806683342789,86,99.1183104367439,100.0,2.0043213737826426
RP11-155L15.1,ENSG00000249697,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTC-236F12.4,ENSG00000248727,0,0,0,0.0,0.0,0,100.0,0.0,0.0
C5orf67,ENSG00000225940,0,0,0,0.0,0.0,0,100.0,0.0,0.0
AC008940.1,ENSG00000228650,0,0,0,0.0,0.0,0,100.0,0.0,0.0
MAP3K1,ENSG00000095015,0,0,0,0.13040803772811155,0.05323523688770273,1148,88.23046955095346,1272.0,3.1048284036536553
AC008937.2,ENSG00000237705,0,0,0,0.0001025220422390814,4.4522474989331306e-05,1,99.9897477957761,1.0,0.3010299956639812
AC008937.3,ENSG00000225230,0,0,0,0.0,0.0,0,100.0,0.0,0.0
SETD9,ENSG00000155542,0,0,0,0.020196842321099036,0.008683974983597206,193,98.02132458478573,197.0,2.296665190261531
MIER3,ENSG00000155545,0,0,0,0.02932130408037728,0.012550961553452993,276,97.17039163420137,286.0,2.4578818967339924
CTD-2310F14.1,ENSG00000271828,0,0,0,0.0009226983801517326,0.0004005380554576629,9,99.90773016198483,9.0,1.0
AC016644.1,ENSG00000235635,0,0,0,0.0001025220422390814,4.4522474989331306e-05,1,99.9897477957761,1.0,0.3010299956639812
GPBP1,ENSG00000062194,0,0,0,0.7074020914496617,0.23233580906673149,4604,52.79885175312693,6900.0,3.8389120274059985
CTD-2023N9.1,ENSG00000250961,0,0,0,0.0,0.0,0,100.0,0.0,0.0
ACTBL2,ENSG00000169067,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2023N9.2,ENSG00000248294,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2023N9.3,ENSG00000249436,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-772C9.1,ENSG00000249198,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-478P10.1,ENSG00000249584,0,0,0,0.0,0.0,0,100.0,0.0,0.0
